Symbol,Name,Market Cap,Country
A,Agilent Technologies Inc. Common Stock,32380538345.00,United States
AA,Alcoa Corporation Common Stock ,7852507912.00,United States
AACB,Artius II Acquisition Inc. Class A Ordinary Shares,0.00,United States
AACBR,Artius II Acquisition Inc. Rights,0.00,United States
AACBU,Artius II Acquisition Inc. Units,0.00,United States
AACG,ATA Creativity Global American Depositary Shares,26167337.00,China
AACI,Armada Acquisition Corp. II Class A Ordinary Shares,0.00,United States
AACIU,Armada Acquisition Corp. II Units,0.00,United States
AACIW,Armada Acquisition Corp. II Warrant,0.00,United States
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.00,
AAL,American Airlines Group Inc. Common Stock,8250499386.00,United States
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,0.00,
AAME,Atlantic American Corporation Common Stock,44363971.00,United States
AAMI,Acadian Asset Management Inc. Common Stock,1433958717.00,United Kingdom
AAOI,Applied Optoelectronics Inc. Common Stock,1590234855.00,United States
AAON,AAON Inc. Common Stock,6402701399.00,United States
AAP,Advance Auto Parts Inc.,3663254190.00,United States
AAPG,Ascentage Pharma Group International American Depository Shares,3516621792.00,China
AAPL,Apple Inc. Common Stock,3154147734680.00,United States
AARD,Aardvark Therapeutics Inc. Common Stock,252106590.00,United States
AAT,American Assets Trust Inc. Common Stock,1231253462.00,United States
AAUC,Allied Gold Corporation Common Shares,1559927000.00,
AB,AllianceBernstein Holding L.P.  Units,4561934596.00,United States
ABAT,American Battery Technology Company Common Stock,220527389.00,United States
ABBV,AbbVie Inc. Common Stock,334309436890.00,United States
ABCB,Ameris Bancorp Common Stock,4640461622.00,United States
ABCL,AbCellera Biologics Inc. Common Shares,1320101583.00,Canada
ABEO,Abeona Therapeutics Inc. Common Stock,337122890.00,United States
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),36792914179.00,Brazil
ABG,Asbury Automotive Group Inc Common Stock,4520820434.00,United States
ABL,Abacus Global Management Inc. Class A Common Stock,490076377.00,United States
ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,1831944055.00,United States
ABLLW,Abacus Global Management Inc. Warrant,108949984.00,United States
ABLV,Able View Global Inc. Class B Ordinary Shares,52353317.00,China
ABM,ABM Industries Incorporated Common Stock,2970952810.00,United States
ABNB,Airbnb Inc. Class A Common Stock,87284353282.00,United States
ABOS,Acumen Pharmaceuticals Inc. Common Stock,90860138.00,United States
ABP,Abpro Holdings Inc Common Stock,12394525.00,United States
